mass,spring,total_reward,final_theta,final_theta_dot
0.0,6.7787999999999995,-1.2724129,0.25290220937850677,-0.2811014159159213
0.5,6.7787999999999995,-0.69268686,-0.1373934217204544,-0.23916008826849966
1.0,6.7787999999999995,-0.94839495,-0.18433871698298324,-0.5167338209223733
1.5,6.7787999999999995,-1.1352035,0.21913815768365993,0.6285909153299215
0.0,11.298,-0.8892183,0.1775064082094097,-0.12985501217773343
0.5,11.298,-1.4688991,0.2931239463657311,0.18108954728475213
1.0,11.298,-0.68206507,-0.1346198472415826,-0.29943004681376983
1.5,11.298,-0.11689345,-0.01672341916850351,0.57685658784245
0.0,5.649,-1.1061332,0.2198570331372795,-0.2616884692085554
0.5,5.649,-0.6469564,0.12910577595522923,0.11947786712249547
1.0,5.649,-0.977301,-0.19462990531340946,-0.20375195203778934
1.5,5.649,-0.7815394,-0.15568467115828905,-0.1765230373296921
0.0,4.5192,-0.6217121,-0.12222871048587937,0.32509272759250835
0.5,4.5192,-0.3642252,0.07022275086922522,0.36209741595017714
1.0,4.5192,-0.52177423,0.09325017663165336,-0.7451400787295784
1.5,4.5192,-0.95978034,-0.1846266965902201,0.6053663541594054
